date_of_infraction,infraction_code,infraction_description,set_fine_amount,location2
20220101,3,PARK ON PRIVATE PROPERTY,30,51 EAST LIBERTY ST
20220101,3,PARK ON PRIVATE PROPERTY,30,51 EAST LIBERTY ST
20220101,3,PARK ON PRIVATE PROPERTY,30,1277 YORK MILLS RD
20220101,3,PARK ON PRIVATE PROPERTY,30,1277 YORK MILLS RD
20220101,3,PARK ON PRIVATE PROPERTY,30,1277 YORK MILLS RD
20220101,3,PARK ON PRIVATE PROPERTY,30,1277 YORK MILLS RD
20220101,3,PARK ON PRIVATE PROPERTY,30,1277 YORK MILLS RD
20220101,3,PARK ON PRIVATE PROPERTY,30,1277 YORK MILLS RD
20220101,3,PARK ON PRIVATE PROPERTY,30,1277 YORK MILLS RD
20220101,3,PARK ON PRIVATE PROPERTY,30,1277 YORK MILLS RD
20220101,3,PARK ON PRIVATE PROPERTY,30,10 YORK ST
20220101,3,PARK ON PRIVATE PROPERTY,30,10 YORK ST
20220101,3,PARK ON PRIVATE PROPERTY,30,10 YORK ST
20220101,3,PARK ON PRIVATE PROPERTY,30,10 YORK ST
20220101,3,PARK ON PRIVATE PROPERTY,30,12 YORK ST
20220101,3,PARK ON PRIVATE PROPERTY,30,78 HOLLY ST
20220101,3,PARK ON PRIVATE PROPERTY,30,140 CHARLES ST W
20220101,3,PARK ON PRIVATE PROPERTY,30,56 ANNIE CRAIG DR
20220101,3,PARK ON PRIVATE PROPERTY,30,56 ANNIE CRAIG DR
20220101,3,PARK ON PRIVATE PROPERTY,30,56 ANNIE CRAIG DR
20220101,3,PARK ON PRIVATE PROPERTY,30,56 ANNIE CRAIG DR
20220101,3,PARK ON PRIVATE PROPERTY,30,77 DAVISVILLE AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,1621 ALBION RD
20220101,3,PARK ON PRIVATE PROPERTY,30,1621 ALBION RD
20220101,3,PARK ON PRIVATE PROPERTY,30,16 YONGE ST
20220101,3,PARK ON PRIVATE PROPERTY,30,16 YONGE ST
20220101,3,PARK ON PRIVATE PROPERTY,30,16 YONGE ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2451 FINCH AVE W
20220101,3,PARK ON PRIVATE PROPERTY,30,16 YONGE ST
20220101,3,PARK ON PRIVATE PROPERTY,30,16 YONGE ST
20220101,3,PARK ON PRIVATE PROPERTY,30,2489 FINCH AVE W
20220101,3,PARK ON PRIVATE PROPERTY,30,2491 FINCH AVE W
20220101,3,PARK ON PRIVATE PROPERTY,30,16 YONGE ST
20220101,3,PARK ON PRIVATE PROPERTY,30,650 PARLIAMENT ST
20220101,3,PARK ON PRIVATE PROPERTY,30,1621 ALBION RD
20220101,3,PARK ON PRIVATE PROPERTY,30,1621 ALBION RD
20220101,3,PARK ON PRIVATE PROPERTY,30,1621 ALBION RD
20220101,3,PARK ON PRIVATE PROPERTY,30,1621 ALBION RD
20220101,3,PARK ON PRIVATE PROPERTY,30,1621 ALBION RD
20220101,3,PARK ON PRIVATE PROPERTY,30,1621 ALBION RD
20220101,3,PARK ON PRIVATE PROPERTY,30,1621 ALBION RD
20220101,3,PARK ON PRIVATE PROPERTY,30,3 KING'S COLLEGE RD
20220101,3,PARK ON PRIVATE PROPERTY,30,199 ROEHAMPTON AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,1621 ALBION RD
20220101,3,PARK ON PRIVATE PROPERTY,30,1621 ALBION RD
20220101,3,PARK ON PRIVATE PROPERTY,30,1621 ALBION
20220101,3,PARK ON PRIVATE PROPERTY,30,1621 ALBION RD
20220101,3,PARK ON PRIVATE PROPERTY,30,1621 ALBION RD
20220101,3,PARK ON PRIVATE PROPERTY,30,30 BAY ST
20220101,3,PARK ON PRIVATE PROPERTY,30,30 BAY ST
20220101,3,PARK ON PRIVATE PROPERTY,30,78 HOLLY ST
20220101,3,PARK ON PRIVATE PROPERTY,30,78 HOLLY ST
20220101,3,PARK ON PRIVATE PROPERTY,30,16 HARBOUR ST
20220101,3,PARK ON PRIVATE PROPERTY,30,16 HARBOUR ST
20220101,3,PARK ON PRIVATE PROPERTY,30,78 HOLLY ST
20220101,3,PARK ON PRIVATE PROPERTY,30,306 FRONT ST W
20220101,3,PARK ON PRIVATE PROPERTY,30,20 RICHARDSON AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,60 HARBOUR ST
20220101,3,PARK ON PRIVATE PROPERTY,30,60 HARBOUR ST
20220101,3,PARK ON PRIVATE PROPERTY,30,59 ISABELLA ST
20220101,3,PARK ON PRIVATE PROPERTY,30,60 HARBOUR ST
20220101,3,PARK ON PRIVATE PROPERTY,30,5168 YONGE ST
20220101,3,PARK ON PRIVATE PROPERTY,30,3561 EGLINTON AVE W
20220101,3,PARK ON PRIVATE PROPERTY,30,3561 EGLINTON AVE W
20220101,3,PARK ON PRIVATE PROPERTY,30,3561 EGLINTON AVE W
